http_agent,version_release,screen_height,screen_width,model,screen_density_dpi,cpu_support_abis,screen_density
Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo X21A Build/OPM1.171019.011),8.1.0,2280,1080,vivoX21A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; V1930A Build/PKQ1.190616.001),9,1544,720,V1930A,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 10; LYA-AL00 Build/HUAWEILYA-AL00),10,3120,1440,LYA-AL00,640,"[arm64-v8a, armeabi-v7a, armeabi]",4
Dalvik/2.1.0 (Linux; U; Android 9; V1813BT Build/PKQ1.181030.001),9,2280,1080,V1813BT,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; vivo NEX S Build/QP1A.190711.020),10,2316,1080,vivoNEXS,411,"[arm64-v8a, armeabi-v7a, armeabi]",2.5687501
Dalvik/2.1.0 (Linux; U; Android 9; V1813T Build/P00610),9,2280,1080,V1813T,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V1950A Build/QP1A.190711.020),10,2256,1080,V1950A,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; V1824A Build/QP1A.190711.020),10,2340,1080,V1824A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 6.0; BLN-AL20 Build/HONORBLN-AL20),6.0,1920,1080,BLN-AL20,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V1821A Build/QP1A.190711.020),10,2340,1080,V1821A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo X20 Build/OPM1.171019.011),8.1.0,2160,1080,vivoX20,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; MI 8 SE MIUI/V12.0.2.0.QEBCNXM),10,2244,1080,MI8SE,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 11; V2047A Build/RP1A.200720.012),11,2376,1080,V2047A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo X9s Plus Build/OPM1.171019.019),8.1.0,1920,1080,vivoX9sPlus,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 8.0.0; PIC-AL00 Build/HUAWEIPIC-AL00),8.0.0,1920,1080,PIC-AL00,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo Y83 Build/O11019),8.1.0,1520,720,vivoY83,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 9; vivo X21i Build/P00610),9,2280,1080,vivoX21i,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; TAS-AL00 Build/HUAWEITAS-AL00),10,2340,1080,TAS-AL00,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 10; TEL-AN00a Build/HONORTEL-AN00a),10,2400,1080,TEL-AN00a,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo V3Max A Build/LMY47V),5.1.1,1920,1080,vivoV3MaxA,480,"[armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; SM-A6060 Build/PPR1.180610.011),9,2340,1080,SM-A6060,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 8.1.0; V1732A Build/O11019),8.1.0,1520,720,V1732A,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo X20Plus A Build/OPM1.171019.011),8.1.0,2160,1080,vivoX20PlusA,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; VOG-AL10 Build/HUAWEIVOG-AL10),10,2340,1080,VOG-AL10,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V2036A Build/QP1A.190711.020),10,1600,720,V2036A,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 9; vivo X21UD Build/PKQ1.180819.001),9,2280,1080,vivoX21UD,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; V1941A Build/PKQ1.190302.001),9,2340,1080,V1941A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; V2085A Build/RP1A.200720.012),11,2376,1080,V2085A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V1965A Build/QP1A.190711.020),10,2340,1080,V1965A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.1; OS105 Build/NGI77B),7.1.1,2160,1080,OS105,400,"[arm64-v8a, armeabi-v7a, armeabi]",2.5
Dalvik/2.1.0 (Linux; U; Android 11; V1936AL Build/RP1A.200720.012),11,2340,1080,V1936AL,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V1941A Build/QP1A.190711.020),10,2340,1080,V1941A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; vivo X21i A Build/P00610),9,2280,1080,vivoX21iA,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; SM-G9550 Build/PPR1.180610.011),9,2220,1080,SM-G9550,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 6.0.1; vivo X9 Build/MMB29M),6.0.1,1920,1080,vivoX9,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo X20Plus Build/OPM1.171019.011),8.1.0,2160,1080,vivoX20Plus,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.1; SM-C7100 Build/NMF26X),7.1.1,1920,1080,SM-C7100,420,"[armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 11; V2056A Build/RP1A.200720.012),11,2376,1080,V2056A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.1; 1801-A01 Build/NMF26X),7.1.1,2160,1080,1801-A01,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V1829A Build/QP1A.190711.020),10,2340,1080,V1829A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo Y79A Build/N2G47H),7.1.2,1440,720,vivoY79A,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 6.0; vivo Y67L Build/MRA58K),6.0,1280,720,vivoY67L,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 8.1.0; 1803-A01 Build/OPM1),8.1.0,2160,1080,1803-A01,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9L Build/N2G47H),7.1.2,1920,1080,vivoX9L,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.1; 1707-A01 Build/NMF26X),7.1.1,2160,1080,1707-A01,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; HWI-AL00 Build/HUAWEIHWI-AL00),9,2160,1080,HWI-AL00,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo Y83A Build/O11019),8.1.0,1520,720,vivoY83A,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 8.1.0; V1813T Build/O11019),8.1.0,2280,1080,V1813T,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; V1938CT Build/PPR1.180610.011),9,2400,1080,V1938CT,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
